TRACTCE,COUNTYFP,BLKGRPCE,NatWalkInd,Prop_land_unprotected,D4B025,D4A,D2B_E5MIXA,D2A_JPHH,D1D,D1C5_ENT,D1B,E_PctLowWage,Prop_over3kmonth,R_PCTLOWWAGE,P_WrkAge
46100,81,1,17.33333333,1.0,0.0,127.41,0.646953397,0.842329545,50.65092774,1.865331616,90.93491629,0.15682968,0.16844181459566074,0.237130802,0.632
13800,81,1,14.16666667,1.0,0.999972663,257.5,0.729311067,0.045390071,75.38839745,0.0,146.7414062,0.125,0.223125,0.195906433,0.655
94700,81,1,15.33333333,1.0,0.0,123.38,0.550202897,1.622775801,20.47749052,0.051515699,21.53356236,0.179824561,0.25239234449760767,0.258241758,0.623
66900,81,1,14.0,1.0,0.0,147.52,0.627322027,0.141263941,17.87702499,0.132096244,33.90470257,0.5,0.41688311688311686,0.155009452,0.614
55300,81,2,15.16666667,1.0,0.990049061,0.0,0.657015743,0.467652495,63.10464168,2.799606406,120.3074104,0.339920949,0.18176100628930816,0.229110512,0.779
22001,81,1,12.83333333,1.0,0.0,336.62,0.612383954,0.2,5.055841365,0.0,10.29486539,0.217391304,0.697508896797153,0.142857143,0.776
27100,81,1,16.5,1.0,0.99999914,268.22,0.716279206,0.212765957,86.1614865,7.558025132,279.4579793,0.45,0.12846517917511832,0.208791209,0.73
86500,81,2,15.33333333,1.0,0.0,311.14,0.764153247,0.306167401,65.35079036,0.723249854,115.2033696,0.309352518,0.10717488789237668,0.357590966,0.784
85900,81,3,17.0,1.0,0.0,135.45,0.741337566,0.388617886,79.95053283,1.081536865,150.7495999,0.389121339,0.11313465783664459,0.388669302,0.682
7100,81,1,17.83333333,1.0,0.0,97.9,0.949537146,0.283185841,31.45484475,1.683202394,49.75967078,0.359375,0.4249471458773784,0.143695015,0.624
13200,81,1,16.0,1.0,0.272565158,201.17,0.787431029,0.264604811,17.81494069,0.0,33.64506462,0.207792208,0.28345323741007195,0.197468354,0.629
126500,81,1,13.5,1.0,0.0,346.01,0.106492996,2.123595506,29.5851913,0.275211082,31.13325363,0.118165785,0.2165745856353591,0.215025907,0.62
15900,81,1,12.66666667,1.0,1.0,171.66,0.590864661,0.48951049,58.59945011,0.341190394,89.13599034,0.252380952,0.2822966507177033,0.179297597,0.668
4001,81,2,17.83333333,1.0,0.70015333,202.51,0.569618763,0.442687747,18.75787958,0.0,47.43840561,0.294642857,0.23113658070678128,0.214015152,0.664
157101,81,4,16.33333333,1.0,0.0,175.69,0.627801238,0.326633166,11.3189853,0.257249666,31.29870935,0.315384615,0.14794520547945206,0.195061728,0.641
19800,81,3,13.5,1.0,0.0,312.48,0.395488489,0.014705882,15.45618545,0.0,57.76749312,0.0,0.1716833890746934,0.245192308,0.619
